STATE,POPESTIMATE042020
Alabama,4920706
Alaska,732074
Arizona,7393900
Arkansas,3029672
California,39418894
Colorado,5798266
Connecticut,3561494
Delaware,984899
Florida,21688239
Georgia,10695662
Hawaii,1410587
Idaho,1818238
Illinois,12615162
Indiana,6752183
Iowa,3164115
Kansas,2915024
Kentucky,4477899
Louisiana,4650984
Maine,1349647
Maryland,6059529
Massachusetts,6898116
Michigan,9976330
Minnesota,5655855
Mississippi,2971253
Missouri,6151737
Montana,1078405
Nebraska,1937258
Nevada,3128500
New Hampshire,1365533
New Jersey,8890883
New Mexico,2106117
New York,19382373
North Carolina,10581885
North Dakota,765224
Ohio,11699855
Oklahoma,3977682
Oregon,4237408
Pennsylvania,12794404
Rhode Island,1058004
South Carolina,5205864
South Dakota,891688
Tennessee,6875939
Texas,29286467
Utah,3239542
Vermont,623821
Virginia,8587217
Washington,7678379
West Virginia,1788150
Wisconsin,5833464
Wyoming,582030
